type,price,beds,bath,propertysqft,locality,zipcode,distance_to_center,distance_to_wall_street
Condo,2000000,3,2,2000.0,Manhattan,10280,6.161818849691983,0.6892314183898088
Townhouse,15000000,8,6,4087.0,Manhattan,11201,7.133524799556764,1.842600467084116
House,2800000,4,6,8333.0,Manhattan,10304,21.801992750240515,15.71946322401347
House,2600000,5,4,3024.0,Manhattan,11360,17.908970958439692,21.344656894634902
Townhouse,3500000,6,6,6000.0,Manhattan,10031,7.850192189068504,14.032971071389094
Co-op,550000,1,1,1440.0,Manhattan,10024,3.560178403270325,9.760052918026945
House,675000,3,2,2400.0,Manhattan,11234,17.675264070163724,13.491033462045591
House,879000,4,2,1238.0,Manhattan,10309,31.403048650877565,25.507700277233223
House,918888,3,2,2230.0,Manhattan,11369,8.779892650562356,12.37574711901228
Townhouse,2400000,4,2,1892.0,Manhattan,11215,10.154029739533062,4.794458220603036
Multi-family home,425000,5,2,3262.0,Manhattan,10474,10.350827897018439,15.904135235361206
House,998000,4,4,2000.0,Manhattan,10307,34.330209595416356,28.547141563559464
House,1195000,4,4,2688.0,Manhattan,10301,17.348094262917208,11.486544741975116
House,1649000,3,2,2052.0,Manhattan,11228,16.021703362060993,9.971621693220778
House,955000,4,4,2100.0,Manhattan,10312,28.54233271867941,22.69613194480506
Multi-family home,949000,6,3,3262.0,Manhattan,11436,18.029046748597832,17.881454739934306
House,880000,3,2,1743.0,Manhattan,11358,16.36181397503728,19.548303128680708
Condo,198000,1,1,750.0,Queens,11415,13.695962201095636,14.72506557325649
House,549000,5,3,496.0,Manhattan,10469,17.4245708967596,23.122169847798023
House,1088888,3,4,1320.0,Manhattan,11204,16.663553106213985,11.119799297063198
House,888000,4,2,2686.0,Manhattan,10465,16.215520688216067,20.79796744913376
House,1449999,3,2,2230.0,Manhattan,11105,7.150086524309286,11.493442421740678
Townhouse,14900000,5,5,4087.0,Manhattan,10023,1.9717827114121897,8.171786271364255
Townhouse,1970000,4,4,2508.0,Manhattan,11201,6.924479045916766,2.3433136903488
Co-op,1895000,2,2,845.0,Brooklyn,11215,9.482227047080151,4.639033245343195
House,649999,3,2,1440.0,Manhattan,10305,21.67678926743077,15.507966437928914
House,669000,3,2,864.0,Manhattan,10304,20.02099301051577,13.927882462794624
House,800000,3,2,825.0,Manhattan,11234,16.028758586796478,11.735464463634214
Co-op,2375000,1,2,1440.0,Manhattan,10012,3.7925718673835536,2.5190128615839855
House,390000,2,1,586.0,Manhattan,10306,22.4691103653882,16.3025685750733
Condo,2250000,1,1,1786.0,Manhattan,10014,2.9031021049487977,3.49867443033794
Condo,725000,2,2,792.0,Brooklyn,11207,10.1485573465412,8.830823502111128
Co-op,269000,1,1,905.0,Bronx,10471,16.635897551379852,22.826856301337227
Co-op,695000,2,2,1440.0,Manhattan,10065,1.6147213163079976,7.428493461228196
House,1300000,3,2,2230.0,Manhattan,10473,12.472326398960341,17.50043435159142
Co-op,459000,3,2,1250.0,Manhattan,11214,19.142470219551768,13.42853434544739
House,689999,3,2,1008.0,Manhattan,10302,20.09890382938355,14.534893430443116
Co-op,425000,3,2,1405.0,Manhattan,11368,10.939160910252191,13.19251432572848
House,10000000,5,4,6800.0,Manhattan,10065,1.7858899293825645,7.5042442143399075
Co-op,1525000,2,2,1440.0,Manhattan,10024,2.8787372564866156,9.015585700197505
Multi-family home,1499000,9,6,3519.0,Manhattan,11223,19.51382826812207,13.934655642825327
House,519000,3,2,1480.0,Manhattan,10314,24.86551298505583,19.352575723618823
Co-op,358000,2,1,964.0,Queens,11360,17.544778704206287,21.22429343661805
Co-op,975000,3,1,1440.0,Manhattan,10011,2.029103243528864,4.434466162147423
Townhouse,29200000,12,10,11638.0,Manhattan,10016,1.3398352539475746,5.223752385492147
Co-op,498000,2,1,975.0,Brooklyn,11209,14.290678166470174,8.104369704455724
Co-op,385000,1,2,900.0,Queens,11360,17.792949584221105,21.40789174825169
Multi-family home,999000,6,2,3144.0,Manhattan,10462,14.237216393832758,19.897697889988144
Co-op,399000,1,1,964.0,Queens,11372,8.717481831884752,11.909473654525437
Townhouse,699998,3,2,1548.0,Manhattan,10314,23.56058845506021,17.897802825504357
Co-op,1088000,5,2,964.0,Queens,11375,12.594222612620918,13.847565612876759
House,999000,6,2,1280.0,Manhattan,10475,18.532170751519935,24.325386323282657
Multi-family home,1188888,15,9,3262.0,Manhattan,11385,8.91712605109193,8.861090429870286
Co-op,265000,1,1,700.0,Queens,11360,17.76138730836184,21.335834844085944
Co-op,288000,1,1,845.0,Brooklyn,11235,19.215329913733576,14.212937576226016
Co-op,999995,3,2,1750.0,Manhattan,10065,1.8436706119517674,7.4632934307971155
Co-op,1495000,2,2,1350.0,Manhattan,10021,2.5349641805956282,8.317791548474524
Co-op,925000,1,1,1000.0,Manhattan,10021,2.57065856382637,8.283491389015351
Co-op,349000,2,1,964.0,Queens,11415,14.819395706686842,15.563522503533601
Condo,2000000,4,4,3000.0,Manhattan,10022,1.995029978493061,6.963477582488381
Condo,839000,3,2,1376.0,Manhattan,11214,18.71579679150536,12.925138237834902
Co-op,329000,1,1,820.0,Queens,11375,13.387079244448174,14.544472112715171
Multi-family home,899000,6,3,3683.0,Manhattan,10469,17.268796643305564,23.190816652371094
