type_Condo,type_House,type_Multi-family home,type_Townhouse,locality_Brooklyn,locality_Manhattan,locality_Queens,locality_Staten Island,zipcode,beds,bath,propertysqft,distance_to_center,distance_to_wall_street,price
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11208.0,6.0,3.0,3262.0,15.010455576855907,13.362845561894837,980000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11229.0,3.0,1.0,701.0,18.63515580047388,13.34137686070909,499999
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10456.0,3.0,2.0,1093.0,9.266590952689908,15.155624708479506,359999
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10460.0,14.0,7.0,6375.0,12.376394714335673,18.266510595119872,1500000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11224.0,2.0,2.0,1150.0,19.98222831677431,14.433783614136898,475000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10128.0,2.0,2.0,1375.0,3.4284443263719835,9.472270296656744,2400000
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11105.0,1.0,2.0,879.0,7.1439249772644535,11.788741808899696,749000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10007.0,4.0,4.0,2811.0,5.50005128976537,0.7544454489630189,7500000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11216.0,5.0,4.0,4100.0,10.257717019125945,6.473743026953019,2650000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11235.0,2.0,1.0,1100.0,19.905828541994783,14.609320526179172,519000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11234.0,5.0,3.0,1800.0,14.739988998786734,10.568004488505306,799000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10309.0,3.0,4.0,2380.0,31.13248814947323,25.37921122365656,1275000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10307.0,4.0,4.0,2400.0,34.313854717418664,28.55030229840588,963000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11201.0,4.0,2.0,2570.0,6.67739445325215,1.5473509936140863,8950000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11373.0,1.0,1.0,900.0,9.058053044023708,11.624540136546711,389000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10013.0,3.0,2.0,4000.0,4.33963757034307,1.862161581913286,12500000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10471.0,8.0,4.0,2230.0,16.746558063116126,22.941051473171488,3250000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10021.0,2.0,1.0,1440.0,2.828748325025133,8.37257468030252,940000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11004.0,1.0,1.0,518.0,22.681868962705465,25.1767627207628,244900
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10301.0,5.0,2.0,2624.0,15.675137004766382,9.6654915629868,560000
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11375.0,2.0,2.0,951.0,12.15095445544327,14.142914833288929,569000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10465.0,2.0,1.0,700.0,16.266596860212967,21.092082791831945,69900
